link,link-href
The Trump administration keeps downgrading its economic projections amid the coronavirus pandemic,https://www.washingtonpost.com/politics/2020/05/18/trump-administration-keeps-downgrading-its-economic-projections-amid-coronavirus-pandemic/
Trump’s effort to wish away the coronavirus enters ‘the next stage’,https://www.washingtonpost.com/politics/2020/05/06/trumps-effort-wish-away-coronavirus-enters-next-stage/
The sharp hypocrisy of the White House position on testing,https://www.washingtonpost.com/politics/2020/05/07/sharp-hypocrisy-white-house-position-testing/
Trump visit to Pennsylvania factory that produces PPE materials was scuttled after plant officials expressed concerns about health risks,https://www.washingtonpost.com/politics/trump-visit-to-pennsylvania-factory-that-produces-ppe-materials-was-scuttled-after-plant-officials-expressed-concerns-about-health-risks/2020/05/11/10aa97ec-917a-11ea-9e23-6914ee410a5f_story.html
"How George Conway’s super PAC needled Trump with a small-budget ad, helping it go viral",https://www.washingtonpost.com/politics/how-george-conways-super-pac-needled-trump-with-a-small-budget-ad-helping-it-go-viral/2020/05/08/66cb7e1c-90a7-11ea-a0bc-4e9ad4866d21_story.html
"Confronted with horrendous jobs report, White House and congressional Democrats aren’t even talking",https://www.washingtonpost.com/us-policy/2020/05/09/confronted-with-horrendous-jobs-report-white-house-congressional-democrats-arent-even-talking/
A listener’s guide to the Supreme Court battle over Trump’s tax returns and business records,https://www.washingtonpost.com/politics/courts_law/a-listeners-guide-to-the-supreme-court-battle-over-trumps-tax-returns-and-business-records/2020/05/11/54070184-93d1-11ea-91d7-cf4423d47683_story.html
Trump claims China travel restrictions prove he took coronavirus ‘very seriously.’ There are two major problems with that.,https://www.washingtonpost.com/politics/2020/03/02/trumps-airing-grievances-coronavirus-is-overcooked/
"How misinformation, filtered through Fox and conservative media, quickly became Trump administration policy",https://www.washingtonpost.com/politics/2020/05/11/how-misinformation-filtered-through-fox-news-conservative-media-became-trump-administration-policy/
The Health 202: The Trump administration is pulling Medicare and Medicaid levers to combat coronavirus,https://www.washingtonpost.com/politics/the-health-202-the-trump-administration-is-pulling-medicare-and-medicaid-levers-to-combat-coronavirus/2020/03/18/d43164da-639c-4f75-89f0-f865740cc5f3_story.html
Americans deeply wary of reopening as White House weighs ending covid-19 task force,https://www.washingtonpost.com/politics/americans-deeply-wary-of-reopening-as-white-house-weighs-ending-covid-19-task-force/2020/05/05/d2efcbbe-8eec-11ea-9e23-6914ee410a5f_story.html
The White House is focused on per capita coronavirus death tolls. Here’s where we rank.,https://www.washingtonpost.com/politics/2020/05/04/white-house-is-focused-per-capita-coronavirus-death-tolls-heres-where-we-rank/
States relax coronavirus restrictions as U.S. fitfully seeks steps toward normalcy,https://www.washingtonpost.com/politics/states-relax-coronavirus-restrictions-as-us-fitfully-seeks-steps-toward-normalcy/2020/05/04/b90b03f4-8e00-11ea-a0bc-4e9ad4866d21_story.html
"As deaths mount, Trump tries to convince Americans it’s safe to inch back to normal",https://www.washingtonpost.com/politics/as-deaths-mount-trump-tries-to-convince-americans-its-safe-to-inch-back-to-normal/2020/05/09/bf024fe6-9149-11ea-a9c0-73b93422d691_story.html
