web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
1590501958-2532,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=42,Trump wants FDA to move ‘as quickly as they can’ on remdesivir coronavirus approval,https://www.allsides.com/news/2020-04-29-1413/trump-wants-fda-move-quickly-they-can-remdesivir-coronavirus-approval,Read full story,https://www.cnbc.com/2020/04/29/trump-wants-fda-to-move-as-quickly-as-they-can-on-remdesivir-coronavirus-approval.html
1590501745-2494,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=45,How to Know If You Can Trust That Headline-Grabbing COVID-19 Study,https://www.allsides.com/news/2020-04-28-0958/how-know-if-you-can-trust-headline-grabbing-covid-19-study,Read full story,https://vitals.lifehacker.com/how-to-know-if-you-can-trust-that-headline-grabbing-cov-1843129662
1590498295-1804,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=97,Rural America braces for coronavirus,https://www.allsides.com/news/2020-04-03-1457/rural-america-braces-coronavirus,Read full story,https://thehill.com/homenews/state-watch/491032-rural-america-braces-for-coronavirus
1590503151-2762,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=26,Problem Solvers show how Congress can work from home with virtual floor debate,https://www.allsides.com/news/2020-05-07-1812/problem-solvers-show-how-congress-can-work-home-virtual-floor-debate,Read full story,https://rollcall.com/2020/05/07/problem-solvers-show-how-congress-can-work-from-home-with-virtual-floor-debate/
1590499649-2060,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=79,"Workers now deemed ‘essential’ want more: How the coronavirus crisis might bring permanent labor gains on unionizing, sick leave and other issues",https://www.allsides.com/news/2020-04-13-0848/workers-now-deemed-essential-want-more-how-coronavirus-crisis-might-bring,Read full story,https://www.chicagotribune.com/coronavirus/ct-coronavirus-worker-protections-sick-leave-changes-20200410-je7jb4lrqfbovnl3uut4xe5yau-story.html
1590497640-1681,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=107,Work and parent at the same time? A crisis highlights dual lives.,https://www.allsides.com/news/2020-04-01-1400/work-and-parent-same-time-crisis-highlights-dual-lives,Read full story,https://www.csmonitor.com/World/2020/0331/Work-and-parent-at-the-same-time-A-crisis-highlights-dual-lives
1590504240-3005,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=9,It's not so crazy for Trump to take hydroxychloroquine,https://www.allsides.com/news/2020-05-19-1918/its-not-so-crazy-trump-take-hydroxychloroquine,Read full story,https://www.businessinsider.com/trump-taking-hydroxychloroquine-more-resonable-than-it-sounds-2020-5
1590502778-2688,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=31,What needs to happen for schools to reopen?,https://www.allsides.com/news/2020-05-05-1200/what-needs-happen-schools-reopen,Read full story,https://news.yahoo.com/what-needs-to-happen-for-schools-to-reopen-201724713.html
1590500720-2280,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=62,Medicare chief says COVID-19 patient ethnicity data coming next month,https://www.allsides.com/news/2020-04-20-1339/medicare-chief-says-covid-19-patient-ethnicity-data-coming-next-month,Read full story,https://www.rollcall.com/2020/04/20/medicare-chief-says-covid-19-patient-ethnicity-data-coming-next-month/
1590496727-1458,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=124,Man who allegedly coughed on Wegmans worker and said he had coronavirus charged with terroristic threat,https://www.allsides.com/news/2020-03-25-0933/man-who-allegedly-coughed-wegmans-worker-and-said-he-had-coronavirus-charged,Read full story,https://thehill.com/regulation/court-battles/489412-man-who-allegedly-coughed-on-wegmans-worker-and-said-he-had
