web-scraper-order,web-scraper-start-url,link,href
1589872507-878,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Amb. Nikki Haley on Trump administration's Syria strategy,https://www.foxnews.com/transcript/amb-nikki-haley-on-trump-administrations-syria-strategy
1589872507-803,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Does Trump’s targeting help Joe Biden’s campaign?,https://www.foxnews.com/transcript/does-trumps-targeting-help-joe-bidens-campaign
1589872507-913,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Exclusive: Sen. Graham on Charlottesville, North Korea, and the GOP agenda",https://www.foxnews.com/transcript/exclusive-sen-graham-on-charlottesville-north-korea-and-the-gop-agenda
1589872507-839,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Vice President Mike Pence on President Trump's offer to Democrats to end the shutdown stalemate,https://www.foxnews.com/transcript/vice-president-mike-pence-on-president-trumps-offer-to-democrats-to-end-the-shutdown-stalemate
1589872507-812,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Andrew Yang previews second round of Democratic presidential debates,https://www.foxnews.com/transcript/andrew-yang-previews-second-round-of-democratic-presidential-debates
1589872507-778,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Nancy Pelosi on negotiations over small business relief program, criticism of Trump's plan to reopen nation",https://www.foxnews.com/transcript/nancy-pelosi-on-negotiations-over-small-business-relief-program-criticism-of-trumps-plan-to-reopen-nation
1589872507-854,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Sarah Sanders on Kavanaugh probe, Rosenstein's future",https://www.foxnews.com/transcript/sarah-sanders-on-kavanaugh-probe-rosensteins-future
1589872507-853,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Larry Kudlow on stocks, the Fed and state of US economy",https://www.foxnews.com/transcript/larry-kudlow-on-stocks-the-fed-and-state-of-us-economy
1589872507-810,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Master guitar maker Paul Reed Smith is also a high-tech guru,https://www.foxnews.com/transcript/master-guitar-maker-paul-reed-smith-is-also-a-high-tech-guru
1589872507-841,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Sarah Sanders: President Trump means it when he says the government could be shut down for months or years,https://www.foxnews.com/transcript/freshmen-lawmakers-arrive-in-washington-with-high-hopes-of-working-across-the-aisle-to-achieve-bipartisan-success
1589872507-848,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"President Trump on divided Congress, Mueller probe, foreign challenges",https://www.foxnews.com/transcript/president-trump-on-divided-congress-mueller-probe-foreign-challenges
1589872507-911,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Gov. Abbott on Harvey's impact, Secretary Tillerson talks North Korean threat, Afghanistan strategy",https://www.foxnews.com/transcript/gov-abbott-on-harveys-impact-secretary-tillerson-talks-north-korean-threat-afghanistan-strategy
1589872507-859,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,'Fox News Sunday' remembers Senator John McCain,https://www.foxnews.com/transcript/fox-news-sunday-remembers-senator-john-mccain
1589872507-900,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. Kevin Brady on unifying GOP on tax reform,https://www.foxnews.com/transcript/rep-kevin-brady-on-unifying-gop-on-tax-reform
1589872507-928,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Mick Mulvaney on looming budget deadline, ObamaCare repeal",https://www.foxnews.com/transcript/mick-mulvaney-on-looming-budget-deadline-obamacare-repeal
1589872507-834,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Guiding Millennials with a real world playbook,https://www.foxnews.com/transcript/guiding-millennials-with-a-real-world-playbook
1589872507-808,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,AFL-CIO president on impact of Trump administration's trade war with China,https://www.foxnews.com/transcript/afl-cio-president-on-impact-of-trump-administrations-trade-war-with-china
1589872507-909,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Gov. Rick Scott on how Florida is handling Hurricane Irma,https://www.foxnews.com/transcript/gov-rick-scott-on-how-florida-is-handling-hurricane-irma
1589872507-887,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rush Limbaugh reacts to Parkland school shooting,https://www.foxnews.com/transcript/rush-limbaugh-reacts-to-parkland-school-shooting
1589872507-821,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Sen. Lindsey Graham on Trump giving the OK to declassify intelligence related to Russia investigation,https://www.foxnews.com/transcript/sen-lindsey-graham-on-trump-giving-the-ok-to-declassify-intelligence-related-to-russia-investigation
